section,category,level,question,answer
الأنبياء,الأنبياء,متوسط,من هو أول الأنبياء؟,آدم عليه السلام
الأنبياء,الأنبياء,متوسط,من هو خاتم الأنبياء والمرسلين؟,محمد صلى الله عليه وسلم
الأنبياء,الأنبياء,متوسط,من هو النبي الذي ابتلعه الحوت؟,يونس عليه السلام
الأنبياء,الأنبياء,متوسط,من هو النبي الذي كلمه الله مباشرة؟,موسى عليه السلام
الأنبياء,الأنبياء,متوسط,من هو النبي الذي أُلقي في الجب؟,يوسف عليه السلام
الأنبياء,الأنبياء,متوسط,من هو النبي الذي بنى السفينة؟,نوح عليه السلام
الأنبياء,الأنبياء,متوسط,من هو النبي الذي أُمر بذبح ابنه؟,إبراهيم عليه السلام
الأنبياء,الأنبياء,متوسط,من هو النبي الذي أُعيدت له روحه؟,عزير عليه السلام
الأنبياء,الأنبياء,متوسط,من هو النبي الذي أُعطي الإنجيل؟,عيسى عليه السلام
الصحابة,الصحابة,متوسط,من هو أول من آمن من الرجال؟,أبو بكر الصديق رضي الله عنه
الصحابة,الصحابة,متوسط,من هو أول من آمن من النساء؟,خديجة بنت خويلد رضي الله عنها
الصحابة,الصحابة,متوسط,من هو أول من آمن من الصبيان؟,علي بن أبي طالب رضي الله عنه
الصحابة,الصحابة,متوسط,من هو أول من آذن في الإسلام؟,بلال بن رباح رضي الله عنه
الصحابة,الصحابة,متوسط,من هو الصحابي الذي لقب بسيف الله المسلول؟,خالد بن الوليد رضي الله عنه
الصحابة,الصحابة,متوسط,من هو الصحابي الذي لقب بترجمان القرآن؟,عبد الله بن مسعود رضي الله عنه
الصحابة,الصحابة,متوسط,من هو الصحابي الذي لقب بأمين هذه الأمة؟,أبو عبيدة بن الجراح رضي الله عنه
الصحابة,الصحابة,متوسط,من هو الصحابي الذي لقب بحبر الأمة؟,عبد الله بن عباس رضي الله عنه
الصحابة,الصحابة,متوسط,من هو الصحابي الذي لقب بذي النورين؟,عثمان بن عفان رضي الله عنه
السيرة,السيرة,متوسط,في أي عام وُلد النبي محمد صلى الله عليه وسلم؟,عام الفيل
السيرة,السيرة,متوسط,في أي عام حدثت الهجرة النبوية؟,622 م
السيرة,السيرة,متوسط,ما اسم غزوة بدر الكبرى؟,بدر
السيرة,السيرة,متوسط,ما اسم غزوة أحد؟,أحد
السيرة,السيرة,متوسط,ما اسم غزوة الخندق؟,الخندق
السيرة,السيرة,متوسط,ما اسم غزوة فتح مكة؟,فتح مكة
السيرة,السيرة,متوسط,ما اسم غزوة حنين؟,حنين
السيرة,السيرة,متوسط,ما اسم غزوة تبوك؟,تبوك
السيرة,السيرة,متوسط,ما اسم معركة اليرموك؟,اليرموك
الأحكام,الأحكام,متوسط,ما حكم الصلاة في الإسلام؟,فرض
الأحكام,الأحكام,متوسط,ما حكم الصوم في الإسلام؟,فرض
الأحكام,الأحكام,متوسط,ما حكم الزكاة في الإسلام؟,فرض
الأحكام,الأحكام,متوسط,ما حكم الحج في الإسلام؟,فرض
الأحكام,الأحكام,متوسط,ما حكم شرب الخمر؟,حرام
الأحكام,الأحكام,متوسط,ما حكم أكل لحم الخنزير؟,حرام
الأحكام,الأحكام,متوسط,ما حكم الربا؟,حرام
الأحكام,الأحكام,متوسط,ما حكم الغيبة؟,حرام
الأحكام,الأحكام,متوسط,ما حكم النميمة؟,حرام
الصالحون والعلماء,الصالحون والعلماء,متوسط,من هو مؤسس المذهب الحنفي؟,أبو حنيفة النعمان
الصالحون والعلماء,الصالحون والعلماء,متوسط,من هو مؤسس المذهب المالكي؟,مالك بن أنس
الصالحون والعلماء,الصالحون والعلماء,متوسط,من هو مؤسس المذهب الشافعي؟,محمد بن إدريس الشافعي
الصالحون والعلماء,الصالحون والعلماء,متوسط,من هو مؤسس المذهب الحنبلي؟,أحمد بن حنبل
الصالحون والعلماء,الصالحون والعلماء,متوسط,من هو مؤلف صحيح البخاري؟,محمد بن إسماعيل البخاري
الصالحون والعلماء,الصالحون والعلماء,متوسط,من هو مؤلف صحيح مسلم؟,مسلم بن الحجاج
الصالحون والعلماء,الصالحون والعلماء,متوسط,من هو مؤلف رياض الصالحين؟,النووي
الصالحون والعلماء,الصالحون والعلماء,متوسط,من هو مؤلف كتاب التوحيد؟,محمد بن عبد الوهاب
الصالحون والعلماء,الصالحون والعلماء,متوسط,من هو مؤلف كتاب العقيدة الواسطية؟,ابن تيمية
الألغاز الشرعية,الألغاز الشرعية,متوسط,ما اسم أطول سورة في القرآن؟,البقرة
الألغاز الشرعية,الألغاز الشرعية,متوسط,ما اسم أقصر سورة في القرآن؟,الكوثر
الألغاز الشرعية,الألغاز الشرعية,متوسط,ما اسم السورة التي تعدل ثلث القرآن؟,الإخلاص
الألغاز الشرعية,الألغاز الشرعية,متوسط,ما اسم السورة التي تبدأ بـ الم؟,البقرة
الألغاز الشرعية,الألغاز الشرعية,متوسط,ما اسم السورة التي تبدأ بـ يس؟,يس
